word,pos,level,desc
"absorb (REMEMBER)","verb","C1","to understand and remember facts that you read or hear"
"abstract (IDEAS)","adjective","B2","relating to ideas and not real things"
"abstract (ART)","adjective","B2","Abstract art involves shapes and colours and not images of real things or people."
"absurd","adjective","B2","very silly"
"abuse (BAD TREATMENT)","noun","B2","bad or cruel treatment of people or animals"
"abuse (WRONG USE)","noun","B2","the use of a substance in an unsuitable and harmful way or for the wrong purpose"
"abuse (WRONG ACTION)","noun","C1","an action or activity that is morally wrong or not allowed"
"abuse (LANGUAGE)","noun","C2","rude and offensive words said to another person"
"abusive","adjective","C2","saying rude and offensive words to someone"
"academic (EDUCATION)","adjective","B2","relating to schools, colleges and universities, or to subjects which involve thinking and studying and not technical or practical skills"
"academic (CLEVER)","adjective","C2","clever and good at studying"
"accelerate (HAPPEN)","verb","C1","to start to happen more quickly, or to make something start to happen more quickly"
"accelerate (VEHICLE)","verb","C2","to move or cause yourself or a vehicle to move faster"
"accent (PRONUNCIATION)","noun","B1","the way in which people in a particular area, country or social group pronounce words"
"accent (MARK)","noun","B2","a mark written or printed over a letter to show you how to pronounce it"
"accept (AGREE TO TAKE)","verb","B1","to agree to take something that is offered to you"
"accept (ADMIT)","verb","B2","to admit that something is true, often something unpleasant"
"accept (ALLOW TO JOIN)","verb","B2","to allow someone to join an organization or become part of a group"
"accept responsibility/blame","verb","B2","to admit that you caused something bad that happened"
"acceptable (GOOD ENOUGH)","adjective","B1","good enough"
"acceptable (ALLOWED)","adjective","C1","allowed or approved of"
"acceptance","noun","C1","when you accept something"
"accepted","adjective","C1","agreed or approved by most people"
"access (RIGHT/OPPORTUNITY)","noun","B1","the right or opportunity to use or look at something"
"access (METHOD)","noun","B1","the way in which you can enter a place or get to a place"
"access","verb","B2","to find or see information, especially using a computer"
"accessible (REACH)","adjective","B2","able to be reached or easily got"
"accessible (UNDERSTAND)","adjective","C2","easy to understand"
"accessory","noun","C1","something extra which is not necessary but is attractive or useful"
"accident","noun","A2","something bad which happens that is not expected or intended, and which causes injury or damage"
"by accident","noun","B1","without being intended"
"accidental","adjective","B2","happening by chance"
"accidentally","adverb","B2","by chance or by mistake"
"acclaimed","adjective","C1","praised by a lot of people"
"accommodation","noun","B1","a place where you live or stay"
"accompany (GO WITH)","verb","B1","to go somewhere with someone"
"accompany (HAPPEN TOGETHER)","verb","B1","to happen or exist at the same time as something else"
"accompany (MUSIC)","verb","C2","to play music to support someone else who is playing or singing"
"accomplish","verb","C1","to succeed in doing something good"
"of your own accord","noun","C2","If you do something of your own accord, you choose to do it and no one else forces you."
"in accordance with sth","noun","C1","in the way described by a rule, law, or wish"
"according to (OPINION)","preposition","B1","as said by someone or shown by something"
"according to (METHOD)","preposition","B2","in a way that agrees with"
"account (BANK)","noun","B1","an arrangement with a bank to keep your money there and to allow you to take it out when you need to"
"account (REPORT)","noun","B2","a written or spoken description of something that has happened"
"take account of sth","noun","B2","to consider something when judging a situation"
"take into account sth","noun","B2","to consider something when judging a situation"
"on account of sth","noun","B2","because of something"
"on no account; not on any account","noun","C2","not for any reason or in any situation"
"by all accounts","noun","C1","as said by a lot of people"
"accountable","adjective","C2","responsible for what you do and having to be able to explain your actions"
"accountant","noun","B1","someone whose job is to keep or examine the financial records of a person or organization"
"accumulate","verb","C1","to increase in amount over a period of time, or to make something increase over a period of time"
"accumulation","noun","C2","an amount of something that has been collected"
"accuracy","noun","B2","how correct or exact something is"
"accurate","adjective","B1","correct, exact and without any mistakes"
"accurately","adverb","B1","in an accurate way"
"accusation","noun","C1","when you say that someone has done something bad"
"accuse","verb","B2","to say that someone has done something bad"
"accustomed to sth/doing sth","adjective","C1","If you are accustomed to something, you have experienced it often enough for it to seem normal to you."
"ache","noun","B1","a feeling of pain over an area of your body which continues for a long time"
"ache","verb","B2","to have a continuous pain that is unpleasant but not strong"
"achieve","verb","B1","to succeed in doing something good, usually by working hard"
"achievement","noun","B1","something very good and difficult that you have succeeded in doing"
"acid","noun","B2","a liquid substance which can react chemically with and sometimes dissolve other materials"
"acknowledge (ACCEPT)","verb","C1","to accept that something is true or exists"
"acknowledge (SAY RECEIVED)","verb","C1","to tell someone, usually in writing, that you have received something they sent you"
"acquaintance","noun","C1","someone who you know but do not know well"
"acquire (GET)","verb","B2","to get something"
"acquire (LEARN)","verb","B2","to learn something"
"acre","noun","C2","a unit for measuring area, equal to 4047 square metres"
"across","adverb","A2","from one side of something to the other"
"across the board","adverb","C2","happening or having an effect on people at every level and in every area"
"across","preposition","A2","on the opposite side of"
"act (PERFORM)","verb","B1","to perform in a film, play, etc."
"act (BEHAVE)","verb","B1","to behave in a particular way"
"act (DO SOMETHING)","verb","B2","to do something, especially in order to solve a problem"
"act (THEATRE)","noun","B1","one of the parts a play is divided into"
"act (THING DONE)","noun","B2","something that someone does"
"act (FALSE BEHAVIOUR)","noun","C2","behaviour which hides your real feelings or intentions"
"get your act together","noun","C2","to organize your activities so that you can make progress"
"action (ACTIVITY)","noun","B1","things which are happening, especially exciting or important things"
"action (DO)","noun","B2","something that you do"
"legal action","noun","C1","a legal process in a court"
"out of action","noun","C1","damaged or hurt and not able to operate or play sports"
"course of action","noun","C1","something that you can do in a particular situation"
"action (FIGHTING)","noun","C2","fighting in a war"
"action (PROCESS)","noun","C2","a movement or natural process"
"active (BUSY)","adjective","B1","doing a lot of things, or moving around a lot"
"active (GRAMMAR)","adjective","B1","An active verb or sentence is one in which the subject is the person or thing doing the action."
"active (INVOLVED)","adjective","B2","very involved in an organization or planned activity"
"active (VOLCANO)","adjective","C1","An active volcano could throw out rocks, fire, etc. at any time."
"actively","adverb","B2","in a way that involves positive action"
"activity (EVENT)","noun","A2","something that is done for enjoyment, especially an organized event"
"activity (WORK)","noun","B2","the work of a group or organization to achieve an aim"
"activity (MOVEMENT)","noun","B2","when a lot of things are happening or people are moving around"
"actor","noun","A2","someone whose job is to perform in plays, films, etc."
"actual","adjective","B2","real, not guessed or imagined"
"in actual fact","adjective","B2","used to emphasize what is really true, or to give more information"
"actually (TRUTH)","adverb","A2","used when you are emphasizing what is really true or what really happened"
"actually (SURPRISE)","adverb","B1","used when you are emphasizing something surprising"
"actually (OPPOSITE)","adverb","B2","used when you are correcting someone, disagreeing with someone, or saying no to a request"
"ad","noun","B1","an advertisement"
"adapt (CHANGE BEHAVIOUR)","verb","B2","to change your behaviour so that it is suitable for a new situation"
"adapt (CHANGE SOMETHING)","verb","B2","to change something so that it is suitable for a different use or situation"
"adaptation","noun","C1","the process or act of changing to suit a new situation"
"add (PUT WITH)","verb","A2","to put something with something else"
"add (CALCULATE)","verb","A2","to put two or more numbers or amounts together to get a total"
"add (SAY MORE)","verb","B1","to say another thing"
"add insult to injury","verb","C2","to make someone's bad situation worse by doing something else to upset them"
"addict","noun","B2","a person who cannot stop doing or using something, especially something harmful"
"addicted (DRUGS)","adjective","B2","not able to stop taking a drug"
"addicted (LIKING)","adjective","B2","liking something very much"
"addiction","noun","B2","when you cannot stop doing or taking something because you are addicted to it"
"addictive","adjective","C1","If something is addictive, it makes you want more of it so that you become addicted."
"in addition (to)","noun","B1","as well (as)"
"addition (NEW THING)","noun","B2","a new or extra thing which is added to something"
"addition (NUMBERS/AMOUNTS)","noun","B2","the process of adding numbers or amounts together in order to get a total"
"additional","adjective","B2","extra"
"additionally","adverb","B2","in addition"
"address (BUILDING DETAILS)","noun","A1","the details of where a building is, including the building number, road name, town, etc."
"address (ELECTRONIC)","noun","A1","a series of letters, numbers or punctuation marks referring to a website or email destination"
"address (DEAL WITH)","verb","C1","to deal with a problem"
"address (SPEAK)","verb","C2","to speak to someone, or to give a speech to an audience"
"address (BUILDING DETAILS)","verb","C2","to write a name and address on an envelope or parcel"
"adequate (ENOUGH)","adjective","B2","enough"
"adequate (GOOD ENOUGH)","adjective","B2","good enough, but not very good"
"adequately","adverb","B2","in an adequate way"
"adjacent","adjective","C2","If two things are adjacent, they are next to each other."
"adjective","noun","A2","a word that describes a noun or pronoun"
"adjust (CHANGE)","verb","B2","to change something slightly so that it works better, fits better, or is more suitable"
"adjust (CHANGE BEHAVIOUR)","verb","B2","to change the way you behave or think in order to suit a new situation"
"adjustment","noun","B2","a small change that you make to something so that it works better, fits better, or is more suitable"
"administration","noun","C1","the work of organizing and arranging the operation of something, such as a company"
"administrative","adjective","C1","relating to the organization and management of something"
"administrator","noun","C1","someone who helps to manage an organization"
"admiration","noun","B2","when you admire someone or something"
"admire (LOOK AT)","verb","B1","to find someone or something attractive and pleasant to look at"
"admire (RESPECT)","verb","B2","to respect or approve of someone or something"
"admission (MONEY)","noun","B1","the money that you pay to enter a place or an event"
"admission (PERMISSION)","noun","B2","when someone is given permission to enter somewhere or to become a member of a club, university, etc."
"admit","verb","B1","to agree that something is true, especially unwillingly"
"admittedly","adverb","B2","used when you are agreeing that something is true although you do not want to"
"adolescent","noun","C2","a young person who is between being a child and an adult"
"adopt (TAKE CHILD)","verb","B2","to legally become the parents of someone else's child"
"adopt (START)","verb","B2","to accept or start to use something new"
"adopted","adjective","B2","legally taken by another family to be looked after as their own child"
"adoption","noun","B2","the process of legally becoming the parents of someone else's child"
"adult","noun","A1","a person or animal that has grown to full size and strength"
"adult (FOR ADULTS)","adjective","A2","for or relating to adults"
"adult (NOT A CHILD)","adjective","C1","having finished growing"
"in advance","noun","B1","before a particular time, or before doing a particular thing"
"advance","noun","B2","new discoveries and inventions"
"advanced (HIGHER LEVEL)","adjective","A2","at a higher, more difficult level"
"advanced (MODERN)","adjective","B1","modern and well developed"
"advantage (USEFUL THING)","noun","B1","something good about a situation that helps you"
"take advantage of sth","noun","B1","to use something good in a situation to help you"
"take advantage of sb/sth","noun","B2","to treat someone or something badly in order to get what you want"
"advantage (SUCCESS)","noun","B2","something that will help you to succeed"
"adventure","noun","A2","an exciting and sometimes dangerous experience"
"adventurous","adjective","B2","willing to try new and often difficult or dangerous things"
"adverb","noun","A2","a word which describes or gives more information about a verb, adjective, another adverb or a phrase"
"adverse conditions/effect(s)/impact","adjective","C2","things that cause problems or danger"
"advert","noun","B1","an advertisement"
"advertise (TRY TO SELL)","verb","B1","to tell people about a product or service in newspapers, on television, on the Internet, etc."
"advertise (ASK FOR)","verb","B1","to put information in a newspaper, on the Internet, etc. asking for someone or something that you need"
"advertisement","noun","A2","a picture, short film, song, etc. which tries to persuade people to buy a product or service"
"advertising","noun","B2","the business of trying to persuade people to buy products or services"
"advice","noun","A2","suggestions about what you think someone should do or how they should do something"
"advise","verb","B1","to make a suggestion about what you think someone should do or how they should do something"
"adviser","noun","C1","someone whose job is to give advice about a subject"
"advocate","verb","C2","to express support for a particular idea or way of doing things"
"advocate","noun","C2","someone who supports a particular idea or way of doing things"
"aeroplane","noun","A2","a vehicle that flies and has at least one engine and wings"
"affair (RELATIONSHIP)","noun","B2","a sexual relationship, especially a secret one"
"affair (SITUATION)","noun","B2","a situation or set of related events, especially bad ones"
"affect (CAUSE CHANGE)","verb","B2","to have an influence on someone or something, or to cause them to change"
"affect (CAUSE EMOTION)","verb","B2","to cause a strong emotion, especially sadness"
"affection","noun","B2","a feeling of liking or loving a person or place"
"affectionate","adjective","C2","showing that you like or love someone"
"affluent","adjective","C1","having a lot of money"
"can afford","verb","B1","to be able to buy or do something because you have enough money or time"
"cannot afford","verb","C2","If you cannot afford to do something, it is impossible for you to do it without causing problems."
"affordable","adjective","C1","cheap enough for most people to be able to buy"
"I'm afraid...","adjective","A2","used to politely introduce bad news or to politely disagree with someone"
"afraid (FEAR)","adjective","A2","frightened"
"afraid (WORRIED)","adjective","B1","worried that something bad might happen"
"after (TIME/EVENT)","preposition","A1","when a time or event has happened"
"after (PAST A PLACE)","preposition","A2","when you have gone past a particular place"
"after (ORDER)","preposition","A2","following in order"
"after (FOLLOWING)","preposition","B1","following someone or something"
"after all","preposition","B1","used to add information that shows that what you have just said is true"
"day after day/year after year, etc.","preposition","B1","happening every day/year, etc. over a long period"
"after (BECAUSE OF)","preposition","B2","because of something that happened"
"after (DESPITE)","preposition","C1","despite"
"after all","preposition","C1","used to say that something happened or was true although you did not expect it to happen or be true"
"after (NAMED FOR)","preposition","C2","used when giving someone or something the same name as another person or thing"
"after","adverb","A2","later than someone or something else"
"after","conjunction","B1","at a later time than something else happens"
"afternoon","noun","A1","the time between the middle of the day and the evening"
"afterwards","adverb","A2","at a later time, after something else has happened"
"again (ONE MORE TIME)","adverb","A1","once more"
"again (AS BEFORE)","adverb","A2","as before"
"again and again","adverb","B1","many times"
"once again","adverb","B1","again"
"all over again","adverb","B2","repeated from the beginning"
"yet again","adverb","B2","again after something has happened or been done many times before"
"then/there again","adverb","C2","used when adding a fact to something you have just said"
"against (COMPETING)","preposition","A2","competing with or opposing someone or something"
"against (TOUCHING)","preposition","A2","next to and touching something"
"against (OPPOSITE DIRECTION)","preposition","B1","in the opposite direction to"
"against (NOT AGREE)","preposition","B2","disagreeing with a plan or activity"
"against the law","preposition","B2","forbidden by a law"
"have sth against sb/sth","preposition","C1","to have a reason not to like someone or something"
"against sb's advice/wishes, etc.","preposition","C2","If you do something against someone's advice, wishes, etc., you do it although they have said you should not or must not."
"against all (the) odds","preposition","C2","If you do or achieve something against all the odds, you succeed although you were not likely to."
"age (HOW OLD)","noun","A1","the number of years that someone has lived, or that something has existed"
"age (PERIOD)","noun","B1","a particular period of history"
"age (OLD)","noun","C2","the state of being old or becoming old"
"at the tender age of 8/17/25, etc.","noun","C2","at the young age of 8/17/25, etc"
"aged","adjective","A2","of the age of"
"agency (BUSINESS)","noun","B1","a business that provides a service"
"agency (ORGANIZATION)","noun","C1","an international organization or government department"
"agenda (MEETING)","noun","C1","a list of subjects that people will discuss at a meeting"
"agenda (IMPORTANT SUBJECTS)","noun","C2","important subjects that have to be dealt with"
"agent (BUSINESS)","noun","B2","someone whose job is to deal with business for someone else"
"agent (SECRET INFORMATION)","noun","B2","someone who tries to find out secret information, especially about another country"
"ages","noun","B1","a very long time"
"aggression","noun","C1","angry or violent behaviour towards someone"
"aggressive (VIOLENT)","adjective","B2","behaving in an angry and violent way towards another person"
"aggressive (DETERMINED)","adjective","C1","using forceful methods and determined to succeed"
"aggressively","adverb","B2","in an aggressive way"
"ago","adverb","A2","used to refer to a time in the past"
"long ago","adverb","C1","If something happened long ago, it happened a great amount of time ago."
"agree (SAME OPINION)","verb","A2","to have the same opinion as someone"
"agree (DECIDE)","verb","B1","to decide something with someone"
"agree (SAY YES)","verb","B2","to say you will do something that someone asks you to"
"agree (BE THE SAME)","verb","C1","If two descriptions, statements, etc. agree, they are the same."
"agreement (DECISION)","noun","B2","a promise or decision made between two or more groups or people"
"agreement (SAME OPINION)","noun","B2","when people have the same opinion or have made the same decision"
"agriculture","noun","B2","farming"
"ahead (IN FRONT)","adverb","B1","in front"
"ahead (FUTURE)","adverb","B1","in the future"
"ahead (MORE POINTS)","adverb","B2","having more points than someone else in a competition"
"ahead","adjective","C2","making more progress than someone or something else"
"ahead of time/schedule","adjective","C1","before the time that was planned"
"aid (HELP)","noun","C1","money, food, or equipment that is given to help a country or group of people"
"in aid of sb/sth","noun","C1","in order to collect money for a group of people who need it"
"with the aid of sth","noun","C1","using something to help you"
"aid (EQUIPMENT)","noun","C1","a piece of equipment that helps you to do something"
"aid","verb","C1","to help someone"
"aim","noun","B1","the purpose of doing something, and what you hope to achieve"
"aim to do sth","verb","B1","to intend to achieve something"
"be aimed at sb","verb","B2","to be intended to influence or affect a particular person or group"
"be aimed at doing sth","verb","C2","to be intended to achieve a particular thing"
"air (AIRCRAFT)","noun","A2","travel in an aircraft"
"air (GAS)","noun","A2","the mixture of gases which surrounds the Earth and which we breathe"
"the air","noun","B2","the space above and around things"
"on air","noun","C1","on television or radio"
"air (QUALITY)","noun","C2","a particular appearance or quality"
"clear the air","noun","C2","If an argument or discussion clears the air, people feel less angry or upset after it."
"disappear/vanish into thin air","noun","C2","to suddenly disappear in a mysterious way"
"a breath of fresh air","noun","C2","someone or something that is new, different, and exciting"
"air conditioning","noun","B1","the system used for keeping the air in a building or vehicle cool"
"aircraft","noun","B2","any vehicle, with or without an engine, which can fly, such as a plane or helicopter"
"air force","noun","B1","the part of a country's military organization that uses aircraft to fight wars"
"airline","noun","B1","a company that provides regular flights to places"
"airport","noun","A2","a place where aircraft regularly take off and land, with buildings for passengers to wait in"
"alarm (WARNING)","noun","B1","a loud noise that warns you of danger"
"alarm (WAKING)","noun","B1","a clock or device in a watch, mobile phone, etc. that makes a noise to wake you"
"alarm (WORRY)","noun","C2","a sudden feeling of fear or worry that something bad might happen"
"raise the alarm","noun","C2","to warn someone of a dangerous situation"
"alarm","verb","C1","to make someone worried or frightened"
"alarm clock","noun","A2","a clock that you can set to wake you up at a particular time with a loud noise"
"alarming","adjective","C1","causing worry or fear"
"albeit","conjunction","C2","although"
"album (MUSIC)","noun","A2","several songs or pieces of music on a CD, a record, etc."
"album (BOOK)","noun","A2","a book in which you keep photographs, stamps, etc."
"alcohol","noun","A2","drinks such as wine and beer which can make you drunk"
"alcoholic (DRINK)","adjective","B1","containing alcohol"
"alcoholic (PERSON)","adjective","C2","regularly drinking too much alcohol and unable to stop the habit"
"alcoholic","noun","C2","someone who regularly drinks too much alcohol and cannot stop the habit"
"alert","adjective","C1","quick to notice and react to things around you"
"alert","verb","C2","to warn someone of a possibly dangerous situation"
"alert","noun","C1","a warning about a possibly dangerous situation"
"alike","adjective","B1","similar"
"alike (SIMILAR)","adverb","B2","in a similar way"
"alike (BOTH)","adverb","B2","used after referring to two groups of people or things to show that both groups are included"
"alive (LIVING)","adjective","B1","living, not dead"
"be alive and kicking/well","adjective","C2","to continue to live or exist and be full of energy, or to be popular or successful"
"alive (PLACE)","adjective","C2","full of activity and excitement"
"alive (CONTINUING)","adjective","C2","continuing to exist"
"all (EVERY ONE)","determiner","A1","every person or thing in a group"
"all (WHOLE TIME)","determiner","A1","the whole of a period of time"
"all (WHOLE AMOUNT)","determiner","A2","the whole amount of something"
"all sorts of sth","determiner","A2","many different types of something"
"all the best","determiner","A2","used to say that you hope someone will be happy, healthy, successful, etc., often when saying goodbye"
"all the time","determiner","A2","continuously"
"all (ONLY THING)","determiner","B1","the only thing"
"at all","determiner","B1","used for emphasis in questions or negative statements, to mean in any way or of any type"
"above all","determiner","B1","most importantly"
"after all","determiner","B1","used to add information that shows that what you have just said is true"
"all is well","determiner","B1","everything is in a good or acceptable state"
"in all","determiner","B2","used to show the total amount of something"
"all of a sudden","determiner","B2","suddenly and unexpectedly"
"all over again","determiner","B2","repeated from the beginning"
"and all that","determiner","B1","used for saying that other similar things are included or that the whole of a situation is considered"
"after all","determiner","C1","used to say that something happened or was true although you did not expect it to happen or be true"
"all things considered","determiner","C1","used for saying that something is true in general if you think about all its aspects"
"all hours","determiner","C1","very late at night, until early morning, or almost all the time"
"for all","determiner","C2","despite"
"all shapes and sizes","determiner","C2","many different types of people or things"
"all","adverb","A2","completely or very"
"all over somewhere","adverb","A2","everywhere in a particular place"
"2/5/8, etc. all","adverb","B1","used to say that two players or teams have the same number of points in a game"
"all along","adverb","B2","from the beginning of a period of time"
"all in all","adverb","B2","considering everything"
"all over the place","adverb","B2","in or to many different places"
"all at once","adverb","C1","suddenly"
"be all very well","adverb","C1","used to show that you do not agree with something or that you are annoyed about something"
"be all set","adverb","C1","to be ready"
"all the better/easier/more exciting, etc.","adverb","C2","much better, easier, more exciting, etc."
"all but","adverb","C2","almost"
"allegation","noun","C1","when you say that someone has done something wrong or illegal, without proof that this is true"
"allege","verb","C2","to say that something is true or state something as a fact without giving proof"
"alleged","adjective","C1","believed to be true, but not proved"
"allegedly","adverb","C2","in a way that is believed to be true, but is not proved"
"alliance","noun","C2","an agreement between countries or political parties to work together to achieve something"
"allied","adjective","C2","joined by a formal agreement"
"allocate","verb","C1","to give some time, money, space, etc. to be used for a particular purpose"
"allocation (SHARE)","noun","C2","an amount of money, time, space, etc. that is allocated"
"allocation (PROCESS)","noun","C2","when money, time, space, etc. is allocated"
"allow (GIVE PERMISSION)","verb","B1","to give someone permission for something"
"allow (TIME/MONEY)","verb","C1","to plan to use a particular amount of money, time, etc. for something"
"allow (MAKE POSSIBLE)","verb","C1","to make it possible for someone to do something"
"allow (NOT PREVENT)","verb","C2","to not prevent something from happening"
"allowance","noun","C1","money that you are given regularly, especially to pay for a particular thing"
"make allowances for sb/sth","noun","C2","to remember that someone has a disadvantage which is not their fault when you are judging their behaviour or work"
"all right (WITHOUT PROBLEMS)","adjective","A1","happening successfully or without problems"
"all right (WELL)","adjective","A2","not hurt or ill"
"that's all right","adjective","A2","used as an answer when someone thanks you, or something you say when someone says sorry, to show that you are not angry"
"all right (PERMISSION)","adjective","A2","used to ask if you can do something or to say that someone can do something"
"all right (GOOD ENOUGH)","adjective","B1","good enough, although not very good"
"all right","exclamation","A1","used to agree to a suggestion or request"
"ally (PERSON)","noun","C1","someone who supports you, especially when other people are against you"
"ally (COUNTRY)","noun","C2","a country that has agreed to help another country, especially in a war"
"almost","adverb","A2","If something almost happens, it does not happen but it is very close to happening."
"alone (WITHOUT PEOPLE)","adjective","A2","without other people"
"leave sb alone","adjective","B2","to stop talking to someone or annoying them"
"let alone","adjective","C1","used to emphasize that something is more impossible than another thing"
"alone (ONLY ONE)","adjective","C2","used to emphasize that only one person or thing is involved"
"along (DIRECTION)","preposition","A2","from one part of a road, river, etc. to another"
"along (NEXT TO)","preposition","B1","in a line next to or beside something long"
"along (PARTICULAR PLACE)","preposition","B2","at a particular place on a road, river, etc."
"along the lines of sth","preposition","C2","based on and similar to something"
"along (FORWARD)","adverb","B1","moving forward"
"along (WITH YOU)","adverb","B1","with you"
"all along","adverb","B2","from the beginning of a period of time"
"along with sb/sth","adverb","B2","in addition to someone or something else"
"alongside (NEXT TO)","adverb","C1","next to someone or something"
"alongside (WITH)","adverb","C1","together with someone"
"aloud","adverb","B1","in a way that other people can hear"
"alphabet","noun","B1","a set of letters arranged in a fixed order which is used for writing a language"
"alphabetical","adjective","B2","arranged in the same order as the letters of the alphabet"
"already (BEFORE NOW)","adverb","A2","before now, or before a particular time in the past"
"already (EARLY)","adverb","B1","used to say that something has happened earlier than you expected"
"alright (WITHOUT PROBLEMS)","adjective","A2","happening successfully or without problems"
"alright (WELL)","adjective","A2","not hurt or ill"
"that's alright","adjective","A2","used as an answer when someone thanks you, or something you say when someone says sorry, to show that you are not angry"
"alright (PERMISSION)","adjective","A2","used to ask if you can do something or to say that someone can do something"
"alright (GOOD ENOUGH)","adjective","B1","good enough, although not very good"
"alright","exclamation","A1","used to agree to a suggestion or request"
"also","adverb","A1","in addition"
"alter","verb","B2","to change, or to make someone or something change"
"alteration","noun","C1","a change, or the process of changing something"
"alternate days/weeks/years, etc.","adjective","C1","one out of every two days, weeks, years, etc."
"alternate","verb","C1","If two things alternate, one thing happens, then the other thing happens, then the first thing happens again, etc."
"alternative","noun","B2","one of two or more things that you can choose between"
"alternative (DIFFERENT PLAN)","adjective","B2","An alternative plan, method, etc. is one that you can use if you do not want to use another one."
"alternative (NOT USUAL)","adjective","B2","different to what is usual or traditional"
"alternatively","adverb","B2","used to suggest another possibility"
"although (BUT)","conjunction","B1","but"
"although (DESPITE)","conjunction","B1","despite the fact that"
"altogether (TOTAL)","adverb","B1","in total"
"altogether (COMPLETELY)","adverb","B2","completely"
"altogether (GENERALLY)","adverb","B2","when you consider everything"
"aluminium","noun","B2","a light, silver-coloured metal used for making containers, cooking equipment and aircraft parts"
"always (EVERY TIME)","adverb","A1","every time, or at all times"
"always (UNTIL NOW)","adverb","A2","at all times in the past"
"always (FOREVER)","adverb","A2","forever"
"can/could always do sth","adverb","B1","used to suggest something"
"always (MANY TIMES)","adverb","B2","again and again, often in an annoying way"
"a.m.","adverb","A1","used to refer to a time between twelve o'clock at night and twelve o'clock in the middle of the day"
"amateur","adjective","C1","doing something as a hobby and not as your job"
"amateur (HOBBY)","noun","C1","someone who does something as a hobby and not as their job"
"amateur (NO SKILL)","noun","C1","someone who is not good at what they do"
"amazed","adjective","B1","extremely surprised"
"amazement","noun","B2","extreme surprise"
"amazing (GOOD)","adjective","A2","very good or impressive in some way"
"amazing (SURPRISING)","adjective","B1","extremely surprising"
"amazingly","adverb","B1","in an amazing way"
"ambassador","noun","B2","the main official sent by a government of a country to represent it in another country"
"ambiguity","noun","C2","when something has more than one possible meaning"
"ambiguous","adjective","C2","having more than one possible meaning"
"ambition (HOPE)","noun","B1","something you want to achieve"
"ambition (STRONG FEELING)","noun","B2","a strong feeling that you want to be successful or powerful"
"ambitious (PERSON)","adjective","B2","wanting to be successful or powerful"
"ambitious (PLAN)","adjective","B2","If a plan or idea is ambitious, it will need a lot of work and will be difficult to achieve."
"ambulance","noun","A2","a special vehicle used to take ill or injured people to hospital"
"amend","verb","C2","to slightly change the words of a document"
"amendment","noun","C1","a change in the words of a document, or the process of doing this"
"amid (WHILE)","preposition","C1","while something else is happening"
